Date,Country,Population,Confirmed_Cases,New_Cases,Deaths,New_Deaths,Recovered,Active_Cases,Vaccinations,Death_Rate_Percent,Recovery_Rate_Percent
2020-01-01,India,1380000000,43,43,0,0,33,10,0,0,76.74
2020-01-02,India,1380000000,102,59,1,1,85,16,0,0.98,83.33
2020-01-03,India,1380000000,154,52,1,0,128,25,0,0.65,83.12
2020-01-04,India,1380000000,208,54,1,0,174,33,0,0.48,83.65
2020-01-05,India,1380000000,280,72,1,0,233,46,0,0.36,83.21
2020-01-06,India,1380000000,329,49,1,0,275,53,0,0.3,83.59
2020-01-07,India,1380000000,389,60,1,0,328,60,0,0.26,84.32
2020-01-08,India,1380000000,467,78,1,0,397,69,0,0.21,85.01
2020-01-09,India,1380000000,532,65,1,0,455,76,0,0.19,85.53
2020-01-10,India,1380000000,622,90,2,1,527,93,0,0.32,84.73
2020-01-11,India,1380000000,693,71,3,1,585,105,0,0.43,84.42
2020-01-12,India,1380000000,774,81,4,1,652,118,0,0.52,84.24
2020-01-13,India,1380000000,914,140,5,1,785,124,0,0.55,85.89
2020-01-14,India,1380000000,1023,109,7,2,888,128,0,0.68,86.8
2020-01-15,India,1380000000,1118,95,8,1,963,147,0,0.72,86.14
2020-01-16,India,1380000000,1229,111,9,1,1050,170,0,0.73,85.44
2020-01-17,India,1380000000,1311,82,9,0,1126,176,0,0.69,85.89
2020-01-18,India,1380000000,1387,76,9,0,1189,189,0,0.65,85.72
2020-01-19,India,1380000000,1473,86,10,1,1257,206,0,0.68,85.34
2020-01-20,India,1380000000,1585,112,12,2,1359,214,0,0.76,85.74
2020-01-21,India,1380000000,1711,126,14,2,1474,223,0,0.82,86.15
2020-01-22,India,1380000000,1849,138,14,0,1590,245,0,0.76,85.99
2020-01-23,India,1380000000,1942,93,14,0,1667,261,0,0.72,85.84
2020-01-24,India,1380000000,2096,154,15,1,1807,274,0,0.72,86.21
2020-01-25,India,1380000000,2248,152,17,2,1928,303,0,0.76,85.77
2020-01-26,India,1380000000,2390,142,19,2,2058,313,0,0.79,86.11
2020-01-27,India,1380000000,2573,183,21,2,2217,335,0,0.82,86.16
2020-01-28,India,1380000000,2727,154,22,1,2337,368,0,0.81,85.7
2020-01-29,India,1380000000,2843,116,23,1,2446,374,0,0.81,86.04
2020-01-30,India,1380000000,3030,187,24,1,2605,401,0,0.79,85.97
2020-01-31,India,1380000000,3169,139,25,1,2720,424,0,0.79,85.83
2020-02-01,India,1380000000,3358,189,26,1,2899,433,0,0.77,86.33
2020-02-02,India,1380000000,3545,187,29,3,3071,445,0,0.82,86.63
2020-02-03,India,1380000000,3763,218,30,1,3276,457,0,0.8,87.06
2020-02-04,India,1380000000,3997,234,34,4,3471,492,0,0.85,86.84
2020-02-05,India,1380000000,4191,194,35,1,3630,526,0,0.84,86.61
2020-02-06,India,1380000000,4436,245,39,4,3821,576,0,0.88,86.14
2020-02-07,India,1380000000,4627,191,41,2,3984,602,0,0.89,86.1
2020-02-08,India,1380000000,4820,193,43,2,4167,610,0,0.89,86.45
2020-02-09,India,1380000000,5023,203,45,2,4344,634,0,0.9,86.48
2020-02-10,India,1380000000,5209,186,49,4,4521,639,0,0.94,86.79
2020-02-11,India,1380000000,5502,293,51,2,4775,676,0,0.93,86.79
2020-02-12,India,1380000000,5695,193,52,1,4946,697,0,0.91,86.85
2020-02-13,India,1380000000,5897,202,54,2,5105,738,0,0.92,86.57
2020-02-14,India,1380000000,6169,272,56,2,5324,789,0,0.91,86.3
2020-02-15,India,1380000000,6414,245,59,3,5558,797,0,0.92,86.65
2020-02-16,India,1380000000,6718,304,64,5,5808,846,0,0.95,86.45
2020-02-17,India,1380000000,6940,222,67,3,5995,878,0,0.97,86.38
2020-02-18,India,1380000000,7302,362,72,5,6283,947,0,0.99,86.04
2020-02-19,India,1380000000,7674,372,79,7,6594,1001,0,1.03,85.93
2020-02-20,India,1380000000,8079,405,81,2,6947,1051,0,1,85.99
2020-02-21,India,1380000000,8438,359,84,3,7268,1086,0,1,86.13
2020-02-22,India,1380000000,8785,347,88,4,7597,1100,0,1,86.48
2020-02-23,India,1380000000,9060,275,90,2,7828,1142,0,0.99,86.4
2020-02-24,India,1380000000,9373,313,95,5,8118,1160,0,1.01,86.61
2020-02-25,India,1380000000,9752,379,100,5,8449,1203,0,1.03,86.64
2020-02-26,India,1380000000,10085,333,106,6,8762,1217,0,1.05,86.88
2020-02-27,India,1380000000,10434,349,111,5,9055,1268,0,1.06,86.78
2020-02-28,India,1380000000,10905,471,120,9,9497,1288,0,1.1,87.09
2020-02-29,India,1380000000,11232,327,126,6,9789,1317,0,1.12,87.15
2020-03-01,India,1380000000,11642,410,128,2,10116,1398,0,1.1,86.89
2020-03-02,India,1380000000,12112,470,135,7,10483,1494,0,1.11,86.55
2020-03-03,India,1380000000,12540,428,142,7,10867,1531,0,1.13,86.66
2020-03-04,India,1380000000,12882,342,145,3,11177,1560,0,1.13,86.76
2020-03-05,India,1380000000,13263,381,151,6,11518,1594,0,1.14,86.84
2020-03-06,India,1380000000,13628,365,158,7,11845,1625,0,1.16,86.92
2020-03-07,India,1380000000,14021,393,162,4,12170,1689,0,1.16,86.8
2020-03-08,India,1380000000,14505,484,166,4,12632,1707,0,1.14,87.09
2020-03-09,India,1380000000,15071,566,175,9,13154,1742,0,1.16,87.28
2020-03-10,India,1380000000,15545,474,181,6,13572,1792,0,1.16,87.31
2020-03-11,India,1380000000,15939,394,187,6,13899,1853,0,1.17,87.2
2020-03-12,India,1380000000,16456,517,190,3,14362,1904,0,1.15,87.28
2020-03-13,India,1380000000,16977,521,201,11,14858,1918,0,1.18,87.52
2020-03-14,India,1380000000,17600,623,213,12,15376,2011,0,1.21,87.36
2020-03-15,India,1380000000,18274,674,220,7,15922,2132,0,1.2,87.13
2020-03-16,India,1380000000,18812,538,228,8,16432,2152,0,1.21,87.35
2020-03-17,India,1380000000,19468,656,232,4,17016,2220,0,1.19,87.4
2020-03-18,India,1380000000,20291,823,249,17,17678,2364,0,1.23,87.12
2020-03-19,India,1380000000,21032,741,262,13,18348,2422,0,1.25,87.24
2020-03-20,India,1380000000,21664,632,272,10,18881,2511,0,1.26,87.15
2020-03-21,India,1380000000,22418,754,286,14,19586,2546,0,1.28,87.37
2020-03-22,India,1380000000,23006,588,298,12,20098,2610,0,1.3,87.36
2020-03-23,India,1380000000,23873,867,312,14,20883,2678,0,1.31,87.48
2020-03-24,India,1380000000,24558,685,324,12,21527,2707,0,1.32,87.66
2020-03-25,India,1380000000,25126,568,328,4,22029,2769,0,1.31,87.67
2020-03-26,India,1380000000,25671,545,331,3,22499,2841,0,1.29,87.64
2020-03-27,India,1380000000,26199,528,339,8,22913,2947,0,1.29,87.46
2020-03-28,India,1380000000,26993,794,344,5,23649,3000,0,1.27,87.61
2020-03-29,India,1380000000,27640,647,353,9,24243,3044,0,1.28,87.71
2020-03-30,India,1380000000,28370,730,359,6,24894,3117,0,1.27,87.75
2020-03-31,India,1380000000,29587,1217,378,19,26002,3207,0,1.28,87.88
2020-04-01,India,1380000000,30712,1125,402,24,26984,3326,0,1.31,87.86
2020-04-02,India,1380000000,31706,994,412,10,27837,3457,0,1.3,87.8
2020-04-03,India,1380000000,32455,749,417,5,28424,3614,0,1.28,87.58
2020-04-04,India,1380000000,33200,745,423,6,29026,3751,0,1.27,87.43
2020-04-05,India,1380000000,34376,1176,434,11,30059,3883,0,1.26,87.44
2020-04-06,India,1380000000,35429,1053,445,11,31061,3923,0,1.26,87.67
2020-04-07,India,1380000000,36566,1137,465,20,32061,4040,0,1.27,87.68
2020-04-08,India,1380000000,37292,726,472,7,32673,4147,0,1.27,87.61
2020-04-09,India,1380000000,38600,1308,495,23,33696,4409,0,1.28,87.3
2020-04-10,India,1380000000,39516,916,501,6,34491,4524,0,1.27,87.28
2020-04-11,India,1380000000,40879,1363,519,18,35596,4764,0,1.27,87.08
2020-04-12,India,1380000000,41570,691,529,10,36213,4828,0,1.27,87.11
2020-04-13,India,1380000000,42367,797,534,5,36888,4945,0,1.26,87.07
2020-04-14,India,1380000000,43402,1035,554,20,37818,5030,0,1.28,87.13
2020-04-15,India,1380000000,44992,1590,567,13,39078,5347,0,1.26,86.86
2020-04-16,India,1380000000,46013,1021,582,15,40047,5384,0,1.26,87.03
2020-04-17,India,1380000000,47101,1088,598,16,40971,5532,0,1.27,86.99
2020-04-18,India,1380000000,48080,979,612,14,41900,5568,0,1.27,87.15
2020-04-19,India,1380000000,49706,1626,631,19,43449,5626,0,1.27,87.41
2020-04-20,India,1380000000,50740,1034,642,11,44412,5686,0,1.27,87.53
2020-04-21,India,1380000000,51930,1190,649,7,45514,5767,0,1.25,87.64
2020-04-22,India,1380000000,52971,1041,666,17,46443,5862,0,1.26,87.68
2020-04-23,India,1380000000,54080,1109,688,22,47454,5938,0,1.27,87.75
2020-04-24,India,1380000000,55151,1071,697,9,48434,6020,0,1.26,87.82
2020-04-25,India,1380000000,56576,1425,723,26,49799,6054,0,1.28,88.02
2020-04-26,India,1380000000,57471,895,739,16,50552,6180,0,1.29,87.96
2020-04-27,India,1380000000,58476,1005,759,20,51491,6226,0,1.3,88.05
2020-04-28,India,1380000000,60156,1680,789,30,52832,6535,0,1.31,87.82
2020-04-29,India,1380000000,61346,1190,813,24,53868,6665,0,1.33,87.81
2020-04-30,India,1380000000,62534,1188,837,24,54877,6820,0,1.34,87.76
2020-05-01,India,1380000000,64103,1569,846,9,56356,6901,0,1.32,87.91
2020-05-02,India,1380000000,65379,1276,873,27,57569,6937,0,1.34,88.05
2020-05-03,India,1380000000,66594,1215,891,18,58654,7049,0,1.34,88.08
2020-05-04,India,1380000000,67589,995,902,11,59550,7137,0,1.33,88.11
2020-05-05,India,1380000000,68873,1284,925,23,60734,7214,0,1.34,88.18
2020-05-06,India,1380000000,70115,1242,943,18,61801,7371,0,1.34,88.14
2020-05-07,India,1380000000,71538,1423,971,28,63000,7567,0,1.36,88.07
2020-05-08,India,1380000000,73149,1611,983,12,64280,7886,0,1.34,87.88
2020-05-09,India,1380000000,75012,1863,1015,32,65757,8240,0,1.35,87.66
2020-05-10,India,1380000000,76644,1632,1026,11,67054,8564,0,1.34,87.49
2020-05-11,India,1380000000,78390,1746,1064,38,68533,8793,0,1.36,87.43
2020-05-12,India,1380000000,80247,1857,1103,39,70311,8833,0,1.37,87.62
2020-05-13,India,1380000000,81646,1399,1128,25,71496,9022,0,1.38,87.57
2020-05-14,India,1380000000,82714,1068,1149,21,72350,9215,0,1.39,87.47
2020-05-15,India,1380000000,84779,2065,1177,28,73964,9638,0,1.39,87.24
2020-05-16,India,1380000000,86169,1390,1187,10,75077,9905,0,1.38,87.13
2020-05-17,India,1380000000,87743,1574,1212,25,76516,10015,0,1.38,87.2
2020-05-18,India,1380000000,89495,1752,1233,21,77972,10290,0,1.38,87.12
2020-05-19,India,1380000000,91139,1644,1265,32,79320,10554,0,1.39,87.03
2020-05-20,India,1380000000,92792,1653,1301,36,80631,10860,0,1.4,86.89
2020-05-21,India,1380000000,94758,1966,1330,29,82507,10921,0,1.4,87.07
2020-05-22,India,1380000000,97261,2503,1372,42,84664,11225,0,1.41,87.05
2020-05-23,India,1380000000,99064,1803,1400,28,86259,11405,0,1.41,87.07
2020-05-24,India,1380000000,100720,1656,1426,26,87633,11661,0,1.42,87.01
2020-05-25,India,1380000000,102751,2031,1444,18,89386,11921,0,1.41,86.99
2020-05-26,India,1380000000,104819,2068,1458,14,91361,12000,0,1.39,87.16
2020-05-27,India,1380000000,106068,1249,1485,27,92492,12091,0,1.4,87.2
2020-05-28,India,1380000000,107303,1235,1508,23,93607,12188,0,1.41,87.24
2020-05-29,India,1380000000,109177,1874,1524,16,95375,12278,0,1.4,87.36
2020-05-30,India,1380000000,111197,2020,1549,25,97289,12359,0,1.39,87.49
2020-05-31,India,1380000000,113519,2322,1595,46,99119,12805,0,1.41,87.31
